"Scenario","Site","C3","Fish","Shellfish","Terrestrial"
"S1: No Concentration","Bco Santos",33.1900957182851,53.4230647698144,1.31316984620026,12.0736696657002
"S1: No Concentration","Cruz Animas",22.1757245484653,68.9895147475833,0.86633612828238,7.96842457566902
"S1: No Concentration","Hoya Fria",33.6889048798485,55.787305769354,0.999214579864955,9.52457477093252
"S1: No Concentration","Majagora",36.351205802764,42.2307535873822,2.16556025439488,19.2524803554589
"S1: No Concentration","Maspalomas",27.0193663245055,54.1693340475812,1.92146259907901,16.8898370288343
"S1: No Concentration","Mt Guerra",24.2529813750946,63.3973330110733,1.20651974696883,11.1431658668632
"S1: No Concentration","Pico Yeje",21.6721341068406,65.4156613033321,1.30506697480738,11.6071376150199
"S1: No Concentration","Risco Perro",27.7590762319829,56.181864173817,1.52246849143762,14.5365911027625
"S1: No Concentration","Uchova",17.504322917273,72.8843404923046,0.972343722054637,8.6389928683678
"S2: With Concentration","Bco Santos",62.4361003235801,19.0167192873951,2.07554756918284,16.471632819842
"S2: With Concentration","Cruz Animas",61.130522869062,27.2677666872692,1.46270361766141,10.1390068260074
"S2: With Concentration","Hoya Fria",63.3684119608755,18.5897145170048,2.02705725330016,16.0148162688195
"S2: With Concentration","Majagora",56.8521607150292,11.498398750434,3.56315431351388,28.086286221023
"S2: With Concentration","Maspalomas",52.91704481495,19.528712139102,3.08363540134171,24.4706076446063
"S2: With Concentration","Mt Guerra",57.5430820646205,25.1695078906481,2.02929514201068,15.2581149027207
"S2: With Concentration","Pico Yeje",54.9585558444147,26.8374080171777,2.1212108026388,16.0828253357688
"S2: With Concentration","Risco Perro",56.228321289153,20.5313407420503,2.63512198935777,20.6052159794389
"S2: With Concentration","Uchova",55.1503449102628,33.1526046777493,1.53688171567558,10.1601686963123
"S3: Informed Priors","Bco Santos",59.2523160268443,17.0747330163678,0.89843264100077,22.7745183157871
"S3: Informed Priors","Cruz Animas",59.9105927231872,26.3714633719763,0.783633056416807,12.9343108484197
"S3: Informed Priors","Hoya Fria",60.0951479134565,17.247846936822,1.06337133050482,21.5936338192167
"S3: Informed Priors","Majagora",50.0272450945496,9.67982309503314,1.47373129730867,38.8192005131086
"S3: Informed Priors","Maspalomas",47.2951160680918,17.5874551719684,1.4597907538485,33.6576380060913
"S3: Informed Priors","Mt Guerra",54.7790846298294,23.6209121891351,1.03544573248404,20.5645574485515
"S3: Informed Priors","Pico Yeje",51.8114510735495,25.436398403359,1.09497321799078,21.6571773051007
"S3: Informed Priors","Risco Perro",51.4919241312394,18.9082515075781,1.20163432483581,28.3981900363467
"S3: Informed Priors","Uchova",53.5452117707812,32.020173540846,0.850104382724118,13.5845103056487
